tanggal,jam,srcip,jumlah_koneksi,jumlah_tujuan_unik,jumlah_port_unik,tcp,udp,total_data,average_datasize,dns,web,app,other,dns_ratio,web_ratio,app_ratio,other_ratio,destination_diversity
2026-08-17,16:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333
2026-08-17,16:00,192.168.2.195,2,2,1,0,2,2506,1253.0,0,2,0,0,0.0,1.0,0.0,0.0,1.0
2026-08-17,17:00,192.168.2.115,5,2,1,0,5,6290,1258.0,0,5,0,0,0.0,1.0,0.0,0.0,0.4
2026-08-17,17:00,192.168.2.159,429,91,10,217,212,163277,380.5990675990676,72,282,72,3,0.1678,0.6573,0.1678,0.007,0.2121
2026-08-17,17:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-08-17,17:00,192.168.2.195,17,10,1,3,14,14477,851.5882352941177,0,17,0,0,0.0,1.0,0.0,0.0,0.5882
2026-08-17,18:00,192.168.2.115,4,3,1,0,4,5062,1265.5,0,4,0,0,0.0,1.0,0.0,0.0,0.75
2026-08-17,18:00,192.168.2.159,415,73,6,85,330,247860,597.2530120481928,9,388,18,0,0.0217,0.9349,0.0434,0.0,0.1759
2026-08-17,18:00,192.168.2.165,4,1,1,4,0,176,44.0,0,4,0,0,0.0,1.0,0.0,0.0,0.25
2026-08-17,18:00,192.168.2.195,9,7,1,4,5,6530,725.5555555555555,0,9,0,0,0.0,1.0,0.0,0.0,0.7778
2026-08-17,19:00,192.168.2.115,9,5,2,2,7,8916,990.6666666666666,0,8,1,0,0.0,0.8889,0.1111,0.0,0.5556
2026-08-17,19:00,192.168.2.159,202,35,1,22,180,124991,618.7673267326733,0,202,0,0,0.0,1.0,0.0,0.0,0.1733
2026-08-17,19:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-08-17,19:00,192.168.2.195,3,2,1,1,2,2566,855.3333333333334,0,3,0,0,0.0,1.0,0.0,0.0,0.6667
2026-08-17,20:00,192.168.2.115,43,25,2,25,18,19668,457.3953488372093,0,42,1,0,0.0,0.9767,0.0233,0.0,0.5814
2026-08-17,20:00,192.168.2.159,34,16,1,24,10,12973,381.55882352941177,0,34,0,0,0.0,1.0,0.0,0.0,0.4706
2026-08-17,20:00,192.168.2.165,5,4,2,5,0,220,44.0,0,4,0,1,0.0,0.8,0.0,0.2,0.8
2026-08-17,20:00,192.168.2.195,79,24,2,44,35,18404,232.9620253164557,21,58,0,0,0.2658,0.7342,0.0,0.0,0.3038
2026-08-17,21:00,192.168.2.115,24,15,1,6,18,21986,916.0833333333334,0,24,0,0,0.0,1.0,0.0,0.0,0.625
2026-08-17,21:00,192.168.2.159,21,13,2,11,10,12022,572.4761904761905,1,20,0,0,0.0476,0.9524,0.0,0.0,0.619
2026-08-17,21:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333
2026-08-17,21:00,192.168.2.195,99,39,3,73,26,22878,231.0909090909091,10,88,1,0,0.101,0.8889,0.0101,0.0,0.3939
2026-08-17,22:00,192.168.2.115,52,26,5,20,32,28376,545.6923076923077,3,44,5,0,0.0577,0.8462,0.0962,0.0,0.5
2026-08-17,22:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-08-17,22:00,192.168.2.195,15,7,2,11,4,3236,215.73333333333332,2,13,0,0,0.1333,0.8667,0.0,0.0,0.4667
2026-08-17,23:00,192.168.2.115,26,14,2,11,15,17250,663.4615384615385,0,25,1,0,0.0,0.9615,0.0385,0.0,0.5385
2026-08-17,23:00,192.168.2.154,45,18,3,25,20,13535,300.77777777777777,9,31,5,0,0.2,0.6889,0.1111,0.0,0.4
2026-08-17,23:00,192.168.2.159,224,55,7,115,109,106532,475.5892857142857,15,194,15,0,0.067,0.8661,0.067,0.0,0.2455
2026-08-17,23:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333
2026-08-17,23:00,192.168.2.174,2,2,2,1,1,1338,669.0,0,1,1,0,0.0,0.5,0.5,0.0,1.0
2026-08-17,23:00,192.168.2.177,33,21,2,17,16,19230,582.7272727272727,1,32,0,0,0.0303,0.9697,0.0,0.0,0.6364
2026-08-17,23:00,192.168.2.179,34,23,2,27,7,10570,310.88235294117646,1,33,0,0,0.0294,0.9706,0.0,0.0,0.6765
2026-08-17,23:00,192.168.2.185,11,3,1,11,0,660,60.0,0,11,0,0,0.0,1.0,0.0,0.0,0.2727
2026-08-17,23:00,192.168.2.195,7,4,1,3,4,5192,741.7142857142857,0,7,0,0,0.0,1.0,0.0,0.0,0.5714
